"id","title","label","latintoponym","pleiades","welchid","golvinid","buildingtype","chronogroup","secondcentury","capacity","modcountry","romanregion","arenamajor","arenaminor","extmajor","extminor","exteriorheight","longitude","latitude","elevation"
"suasaAmphitheater","Amphitheater at Suasa","Suasa","Suasa","https://pleiades.stoa.org/places/413324","","","amphitheater","imperial",True,"","Italy","regio-vi",58.0,36.0,99.0,75.0,"",12.986831,43.624682,139
"pollenzoAmphitheater","Amphitheater at Pollenzo","Pollenzo","Pollentia","https://pleiades.stoa.org/places/383745","","","amphitheater","imperial",True,"","Italy","regio-ix","","",120.0,93.0,"",7.895993,44.684698,200
"vercelliAmphitheater","Amphitheater at Vercelli","Vercelli","Vercellae","https://pleiades.stoa.org/places/383815","","","amphitheater","imperial",True,"","Italy","regio-xi","","","","","",8.426863,45.319277,126
"sanGiovanniAmphitheater","Amphitheater at San Giovanni in Carico","San Giovanni in Carico","Fabrateria Nova","https://pleiades.stoa.org/places/432825","","","amphitheater","imperial",True,"","Italy","regio-i","","","","","",13.552957,41.518993,87
"megiddoAmphitheater","Amphitheater at Megiddo","Megiddo","Legio","https://pleiades.stoa.org/places/678266","","","amphitheater","imperial",True,"","Israel","judaea","","",70.0,50.0,"",35.183968,32.58102,141
"suessaAruncaAmphitheater","Amphitheater at Suessa Arunca","Suessa Arunca","Suessa","https://pleiades.stoa.org/places/433132","11","","amphitheater","republican",True,"","Italy","regio-i","","","","","",13.933458,41.230843,128
"altripaldaAmphitheater","Amphitheater at Altripalda","Altripalda","Abellinum","https://pleiades.stoa.org/places/432618","12","","amphitheater","republican",True,"","Italy","regio-i","","","","","",14.825649,40.917353,303
"compsaAmphitheater","Amphitheater at Compsa","Compsa","Compsa","https://pleiades.stoa.org/places/442550","","","amphitheater","republican",True,"","Italy","regio-ii","","","","","",15.330556,40.870278,572
"yorkAmphitheater","Amphitheater at York","York","Eboracum","https://pleiades.stoa.org/places/89175","","","amphitheater","imperial",True,"","United Kingdom","britannia","","","","","",-1.080278,53.958333,21
"barcelonaAmphitheater","Amphitheater at Barcelona","Barcelona","Barcino","https://pleiades.stoa.org/places/246343","","","amphitheater","imperial",True,"","Spain","tarraconensis","","","","","",2.182077,41.383003,3
"istanbulAmphitheater","Amphitheater at Istanbul","Istanbul","Byzantium","https://pleiades.stoa.org/places/520985","","","amphitheater","imperial",True,"","Turkey","thracia","","","","","",28.985442,41.014686,32
"chichesterAmphitheater","Amphitheater at Chichester","Chichester","Noviomagus Reginorum","https://pleiades.stoa.org/places/79622","","","amphitheater","flavian",True,"","United Kingdom","britannia","","",70.0,60.0,"",-0.771186,50.835394,14
"reggioEmiliaAmphitheater","Amphitheater at Reggio Emilia","Reggio Emilia","Regium Lepidi","https://pleiades.stoa.org/places/383755","","","amphitheater","imperial",True,"","Italy","regio-viii","","","","","",10.629951,44.702888,59
"tharrosAmphitheater","Amphitheater at Tharros","Tharros","Tharros","https://pleiades.stoa.org/places/472032","","","amphitheater","imperial",True,"","Italy","corsica-et-sardinia",32.0,32.0,50.0,46.0,"",8.440713,39.876577,27
