"id","title","label","latintoponym","pleiades","welchid","golvinid","buildingtype","chronogroup","secondcentury","capacity","modcountry","romanregion","arenamajor","arenaminor","extmajor","extminor","exteriorheight","longitude","latitude","elevation"
"chesterAmphitheater","Amphitheater at Chester","Chester","Deva Victrix","https://pleiades.stoa.org/places/79420","","","amphitheater","flavian",True,"","United Kingdom","britannia",56.7,48.3,95.5,86.6,"",-2.886928,53.189079,23
"gennesAmphitheater","Amphitheater at Gennes","Gennes","Geinum","https://pleiades.stoa.org/places/138371","","","gallo-roman-amphitheater","second-century",True,5000.0,"France","lugdunensis",44.0,39.0,"","","",-0.2386057,47.3352194,47
"scythopolisNysaAmphitheater","Amphitheater at Scythopolis/Nysa","Scythopolis","","https://pleiades.stoa.org/places/678378","","","arena-in-hippodrome","imperial",False,"","Israel","judaea","","","","","",35.501631,32.498395,-121
"roccellettaAmphitheater","Amphitheater at Roccelletta di Borgia","Roccelletta di Borgia","Scylletium","https://pleiades.stoa.org/places/452439","","","amphitheater","first-century",True,"","Italy","regio-iii","","",88.0,64.0,"",16.59232919,38.80688779,44
"bordeauxAmphitheater","Amphitheater at Bordeaux","Bordeaux","Burdigala","https://pleiades.stoa.org/places/138248","","188","amphitheater","second-century",True,22130.0,"France","aquitania",69.8,46.7,132.3,110.6,"",-0.582476,44.847382,17
"oudnaAmphitheater","Amphitheater at Oudna","Uthina","Uthina","https://pleiades.stoa.org/places/315247","","115","amphitheater","second-century",True,11832.0,"Tunisia","proconsularis",52.5,37.5,96.0,81.0,"",10.169215,36.608597,112
"carthagoNovaAmphitheater","Amphitheater at Carthago Nova/Col. Urbs Iulia","Carthago Nova","Carthago Nova","https://pleiades.stoa.org/places/265849","","","amphitheater","imperial",True,"","Spain","tarraconensis","","",69.0,69.0,"",-0.9801609,37.600645499,23
"virunumAmphitheater","Amphitheater at Virunum","Virunum","","https://pleiades.stoa.org/places/197583","","","amphitheater","imperial",True,"","Austria","noricum","","",96.0,42.0,"",14.366995899,46.697877699,479
"carsulaeAmphitheater","Amphitheater at Carsulae","Carsulae","","https://pleiades.stoa.org/places/413065","","80","amphitheater","imperial",True,5945.0,"Italy","regio-vi",62.1,37.6,86.5,62.0,"",12.559172,42.639468,438
"florenceAmphitheater","Amphitheater at Florence","Florence","Florentia","https://pleiades.stoa.org/places/413138","","","amphitheater","hadrianic",True,"","Italy","regio-vii","","",124.0,"","",11.2595198,43.7687303,47
"ocriculumAmphitheater","Amphitheater at Ocriculum","Ocriculcum","","https://pleiades.stoa.org/places/413231","","","amphitheater","imperial",True,17812.0,"Italy","regio-vi",64.0,42.0,120.0,98.0,"",12.467190499,42.4115648,86
"lixusAmphitheater","Amphitheater at Lixus","Lixus","","https://pleiades.stoa.org/places/275666","","","amphitheater","imperial",True,"","Morocco","mauretania","","","","","",-6.1084683,35.19990039,52
"arezzoAmphitheater","Amphitheater at Arezzo","Arezzo","Arretium","https://pleiades.stoa.org/places/413032","","","amphitheater","flavian",True,8000.0,"Italy","regio-vii",71.9,42.7,109.4,80.0,"",11.88037,43.460491,263
"larinoAmphitheater","Amphitheater at Larinum","Larin","Larinum","https://pleiades.stoa.org/places/442629","","","amphitheater","imperial",True,"","Italy","regio-ii",57.0,40.0,98.0,86.0,"",14.9159226,41.8058428,406
"ferentoAmphitheater","Amphitheater at Ferento","Ferento","Ferentium","https://pleiades.stoa.org/places/413184","16","","amphitheater","republican",True,"","Italy","regio-vii","","",68.0,40.0,"",12.594868,42.129831,52
"allifaeAmphitheater","Amphitheater at Allifae","Allifae","","https://pleiades.stoa.org/places/432658","","","amphitheater","imperial",True,"","Italy","regio-i",72.0,48.0,107.0,84.0,"",14.334997,41.325601,106
"cimiezAmphitheater","Amphitheater at Cimiéz","Cimiez","Cemenelum","https://pleiades.stoa.org/places/157834","","16","amphitheater","julio-claudian",True,4245.0,"France","narbonensis","","",55.0,44.0,"",7.2752435,43.71967279,112
"hydataHypsitanaForumTraianiAmphitheater","Amphitheater at Hydata Hypsitana/Forum Traiani","Forum Traiani","","https://pleiades.stoa.org/places/471947","","","amphitheater","imperial",True,"","Italy","corsica-et-sardinia","","","","","",8.804698,39.993171,49
"luccaAmphitheater","Amphitheater at Lucca","Lucca","Luca","https://pleiades.stoa.org/places/403234","","135","amphitheater","imperial",True,15048.0,"Italy","regio-vii",80.0,53.0,124.0,96.0,"",10.505772199,43.8455202,19
"hispellumAmphitheater","Amphitheater at Spello","Spello","Hispellum","https://pleiades.stoa.org/places/413170","","","amphitheater","imperial",True,"","Italy","regio-vi","","",82.0,"","",12.6662021,42.9957909,211
"veronaAmphitheater","Amphitheater at Verona","Verona","verona","https://pleiades.stoa.org/places/383816","","","amphitheater","julio-claudian",True,30000.0,"Italy","regio-x",75.68,44.43,152.43,123.42,"",10.99435,45.43904,62
"aquincumCivilAmphitheater","Civil Amphitheater at Budapest","Aquincum (Civilian)","Aquincum","https://pleiades.stoa.org/places/197130","","","amphitheater","imperial",True,"","Hungary","pannonia",51.0,42.0,86.5,75.5,"",19.047985,47.567577,105
"aquincumMilitaryAmphitheater","Military Amphitheater at Budapest","Aquincum (Military)","Aquincum","https://pleiades.stoa.org/places/197130","","","amphitheater","imperial",True,"","Hungary","pannonia",88.0,42.0,131.0,107.0,"",19.03906599,47.532947,101
"aldburoughAmphitheater","Amphitheater at Aldborough","Aldburough","Isurium Brigantium","https://pleiades.stoa.org/places/89209","","","amphitheater","imperial",True,"","United Kingdom","britannia","","","","","",-1.3796295999,54.0881157,41
"perigueuxAmphitheater","Amphitheater at Perigueux","Périgueux","Vesunna Petrucoriorum","https://pleiades.stoa.org/places/138650","","","amphitheater","first-century",True,"","France","aquitania","","",131.0,113.0,"",0.713249,45.18274,97
"cividateCamunoAmphitheater","Amphitheater at Cividate Camuno","Cividate Camuno","Civitas Camunnorum","https://pleiades.stoa.org/places/383617","","","amphitheater","imperial",True,"","Italy","regio-x","","",73.0,60.0,"",10.280644,45.94381289,283
"grumentoAmphitheater","Amphitheater at Grumento","Grumento","Grumentum","https://pleiades.stoa.org/places/442603","","92","amphitheater","imperial",True,7657.0,"Italy","regio-iii",60.0,40.0,90.0,70.0,"",15.9115794,40.2876404,579
"albaFucensAmphitheater","Amphitheater at Alba Fucens","Alba Fucens","Alba Fucens","https://pleiades.stoa.org/places/413005","","","amphitheater","julio-claudian",True,10720.0,"Italy","regio-iv",64.0,37.0,103.0,76.0,"",13.412289,42.0772,977
"augstAmphitheater","Amphitheater at Augst","Augst","Augusta Raurica","https://pleiades.stoa.org/places/177494","","","amphitheater","late-second-century",True,14313.0,"Switzerland","germania-superior",48.0,33.0,102.0,87.0,"",7.72061,47.529294,285
"sutriumAmphitheater","Amphitheater at Sutrium","Sutrium","","https://pleiades.stoa.org/places/413328","15","","amphitheater","republican",True,8500.0,"Italy","regio-vii","","",77.0,"","",12.2293009,42.2393124,271
"sarmizegetusaAmphitheater","Amphitheater at Ulpia Traiana Sarmizegetusa","Sarmizegetusa","Ulpia Traiana Sarmizegetusa","https://pleiades.stoa.org/places/207527","","","amphitheater","second-century",True,"","Romania","dacia",66.0,47.0,88.0,69.0,"",22.785320599,45.51667729,491
"salonaAmphitheater","Amphitheater at Salona","Salona","","https://pleiades.stoa.org/places/197488","","181","amphitheater","second-century",True,13380.0,"Croatia","dalmatia",64.3,40.2,124.75,100.65,"",16.473893,43.5381718,8
"londonAmphitheater","Amphitheater at London","London","Londinium","https://pleiades.stoa.org/places/79574","","","amphitheater","flavian",True,6500.0,"United Kingdom","britannia",60.0,40.0,100.0,85.0,"",-0.092136,51.515522,29
"tiburAmphitheater","Amphitheater at Tibur","Tibur","","https://pleiades.stoa.org/places/423081","","","amphitheater","imperial",True,"","Italy","regio-i","","",85.0,"","",12.798114,41.960571,248
"caerleonAmphitheater","Amphitheater at Caerleon","Caerleon","Isca Augusta","https://pleiades.stoa.org/places/79532","","108","amphitheater","imperial",True,6000.0,"United Kingdom","britannia",55.0,41.0,80.0,66.0,"",-2.956878,51.6080589,13
"telesiaAmphitheater","Amphitheater at Telesia","Telesia","Telesia","https://pleiades.stoa.org/places/433147","9","","amphitheater","republican",True,9000.0,"Italy","regio-iv","","",112.0,"","",14.500496,41.223911,68
"urbisagliaAmphitheater","Amphitheater at Urbs Salvia","Urbs Salvia","Urbs Saglia","https://pleiades.stoa.org/places/413364","","","amphitheater","flavian",True,5150.0,"Italy","regio-v",59.0,35.0,98.0,71.0,"",13.387224,43.200877,219
"saintesAmphitheater","Amphitheater at Saintes","Saintes","Mediolanum Santonum","https://pleiades.stoa.org/places/138458","","100","amphitheater","imperial",True,20197.0,"France","aquitania",65.2,39.2,126.4,101.6,"",-0.6433512,45.7453926,20
"assisiAmphitheater","Amphitheater at Assisi","Assisi","Asisium","https://pleiades.stoa.org/places/413037","","","amphitheater","first-century",True,"","Italy","regio-vi",60.0,35.0,"","","",12.620454,43.071077,445
"durresAmphitheater","Amphitheater at Durrës","Durrës","Dyrrachium","https://pleiades.stoa.org/places/481818","","","amphitheater","second-century",True,20000.0,"Albania","macedonia",61.4,42.2,132.4,113.2,"",19.445131,41.312241,15
"lambaesisAmphitheater","Amphitheater at Lambaesis","Lambaesis","","https://pleiades.stoa.org/places/334570","","","amphitheater","second-century",True,15400.0,"Algeria","mauretania",68.0,55.0,104.6,94.0,"",6.2599349,35.4892469,1170
